#CODE;RUSSIAN;x
ONLY_ONE_TRIBAL;В каждом округе может поселиться только одна племенная община.;x
INTERACTION_INVALID_CB;Убедитесь, что это допустимый Casus Belli;x
lappish;Саамск;x
d_lappish_band;Саамская банда;x
d_lappish_band_adj;Саам;x
IRONMAN_MODE_CHECKSUM_DESC;Файлы игры были изменены, поэтому получение достижений в режиме "Ironman" невозможно. Проверьте версии своих файлов, их целостность, а также убедитесь, что не включали игровые моды. "Редактор правителя" также блокирует получение достижений.;x
NAND_TRIGGER_STARTS;Следующим условиям НЕЛЬЗЯ выполняться одновременно;x
MATCHMAKING_SERVER_DENIED;Отказано;x
PROVINCE_EXTEND;Раскрыть;x
CONFIRM_BUILD_EXTRA_HOLDING_TITLE;Построить $TYPE$;x
CONFIRM_BUILD_EXTRA_HOLDING_DESC;Вы уверены, что хотите построить $TYPE$?\nЭто обойдётся Вам в §Y$COST$§!¤ и будет завершено §Y$FINISHED$§!;x
GOVERNMENT_ALLOWS_BUILDING;§Y$GOVERNMENT$§! позволяет основывать поселения типа §Y$TYPE$§!.;x
CONTROLS_PROVINCE;Контролирует округ §Y$PROVINCE$§!;x
EXTRA_HOLDING_UNDER_CONSTRUCTION;$TYPE$ сейчас строится правителем, известным как §Y$BUILDER$§!\nРабота завершится §Y$DATE$§!;x
BUILD_EXTRA_HOLDING;§Y$TYPE$§!;x #Построить
NO_EXTRA_HOLDING_BUILT;Поселений типа $TYPE$ не было построено;x
EXTRA_HOLDING_UNDER_CON;$TYPE$ сейчас строится;x
CREATE_EXTRA_HOLDING_EFFECT;В месте, известном как $LOCATION$ возникнет $TYPE$;x
NOMAD_TAX_MODIFIER;Кочевой налог;x
FROM_FORTS;От фортов: §G$AMOUNT$§!\n;x
DESTROY_EXTRA_HOLDING_EFFECT;$TYPE$ в месте, известном как $LOCATION$ исчезнет навсегда;x
SEIZE_EXTRA_HOLDING_EFFECT;§Y$TAKER$§! захватит $TYPE$ в округе §Y$PROV$§!;x
ANY_FORT_STARTS;Любой из фортов;x
num_fort_diff_lower_than;Разница в количестве фортов, которыми обладают §Y$FIRST$§! и §Y$SECOND$§! меньше чем §Y$VAL$§!;x
num_fort_diff_at_least;Разница в количестве фортов, которыми обладают §Y$FIRST$§! и §Y$SECOND$§! НЕ меньше чем §Y$VAL$§!;x
has_fewer_fort_than;Имеет меньше чем §Y$NUM$§! фортов;x
has_more_fort_than;Имеет НЕ меньше чем §Y$NUM$§! фортов;x
HAS_EXTRA_HOLDING;Имеет поселение типа $TYPE$;x
HAS_NOT_EXTRA_HOLDING;НЕ имеет поселений типа $TYPE$;x
TRIGGER_FORT_OWNER;Владелец форта;x
FORT_PROV;Форт - $PROV$;x
strengthened_loyalty;Высокая лояльность;x
proud_parent;Гордый родитель;x
wolf_child;Волчье дитя;x
wolf_child_desc;С этим ребёнком происходит что-то странное...;x
wolf_blood;Волчья кровь;x
