taking_a_break;Взял перерыв от тяжелой работы;;;;;;;;;;;x;;
requisitioned_fishing_ships;Реквизированы рыболовные суда;;;;;;;;;;;x;;
deep_contemplation;Глубоко созерцает мир;;;;;;;;;;;x;;
lustful_ruler;Похотливый правитель;;;;;;;;;;;;x;
eating_gruel;Кашевая диета;;;;;;;;;;;x;;
eating_lots_of_gruel;Есть много каши;;;;;;;;;;;x;;
best_meal_in_ages;Ел(а) лучшую еду в жизни;;;;;;;;;;;x;;
paranoid_coward;Параноидальный трус;;;;;;;;;;;x;;
reminiscing;Вспоминает о прошлом;;;;;;;;;;;x;;
opinion_disrespecting_religion;Неуважение к моей религии;;;;;;;;;;;x;;
opinion_patron;Предоставил покровительство;;;;;;;;;;;x;;
opinion_new_courtier;Новый придворный;;;;;;;;;;;x;;
opinion_summoner;Призыватель;;;;;;;;;;;x
olive_garden;Улучшенное оливковое производство;;;;;;;;;;;x;;
justice_is_blind;Правосудие слепо;;;;;;;;;;;x;;
lowered_jizya_tax;Временно снижена Джизья;;;;;;;;;;x;;;
opinion_interest_in_music;Хорошая музыка;;;;;;;;;;;;;x
opinion_thankful;Благодарный;;;;;;;;;;;;;x
opinion_helped_me;Полезный;;;;;;;;;;;;;x
opinion_helped_family_member;Помог члену семьи;;;;;;;;;;;;;x
opinion_comforted_me;Утешил меня;;;;;;;;;;;;;x
opinion_respectful_of_jewish_customs;Уважает местные традиции;;;;;;;;;;;;;x
opinion_fought_for_independence;Борется или боролся за независимость;;;;;;;;;;;;;x
cynical_opinion;Мнение Циничных;;;;;;;;;;;;;x
zealot_opinion;Мнение Набожных;;;;;;;;;;;;;x
kinslayer_opinion;Мнение Убийцы Родичей;;;;;;;;;;;;;x
ruthless_opinion;Мнение Безжалостных;;;;;;;;;;;;;x
anequinan_opinion;Анеквинское Мнение;;;;;;;;;;;;;x
p_sul_opinion;Мнение последователей Сула;;;;;;;;;;;;;x
p_veloth_opinion;Мнение последователей Велота;;;;;;;;;;;;;x
p_magnus_opinion;Мнение последователей Магнуса;;;;;;;;;;;;;x
p_syrabane_opinion;Мнение последователей Сирабейна;;;;;;;;;;;;;x
p_talos_opinion;Мнение последователей Талоса;;;;;;;;;;;;;x
khajiit_pantheon_opinion;Мнение Каджитского Пантеона;;;;;;;;;;;;;x
known_vampire_opinion;Мнение Вампиров;;;;;;;;;;;;;x
known_benevolent_vampire_opinion;Мнение Доброжелательных Вампиров;;;;;;;;;;;;;x
cynical_opinion;Мнение Циничных;;;;;;;;;;;;;x
zealot_opinion;Мнение Набожных;;;;;;;;;;;;;x
opinion_bound_daedra;Связанный с принцем Даэдра;;;;;;;;;;;;;x
house_hlaalu_opinion;Мнение Дома Хлаау;;;;;;;;;;;;;x
house_redoran_opinion;Мнение Дома Редоран;;;;;;;;;;;;;x
house_telvanni_opinion;Мнение Дома Телванни;;;;;;;;;;;;;x
house_dres_opinion;Мнение Дома Дрес;;;;;;;;;;;;;x
house_indoril_opinion;Мнение Дома Индорил;;;;;;;;;;;;;x
house_sul_opinion;Мнение Дома Сул;;;;;;;;;;;;;x
house_veloth_opinion;Мнение Дома Велот;;;;;;;;;;;;;x
house_dagoth_opinion;Мнение Дома Дагот;;;;;;;;;;;;;x
no_house_council_representation;Не представлен в совете дома;;;;;;;;;;;;;x
slaver_opinion;Мнение рабовладельцев;;;;;;;;;;;;;x
slave_opinion;Мнение рабов;;;;;;;;;;;;;x
exslave_opinion;Мнение бывших рабов;;;;;;;;;;;;;x
liberator_opinion;Мнение Освободителя;;;;;;;;;;;;;x
opinion_res_murdered_my_people;Убил моих людей;;;;;;;;;;;;;x
opinion_res_exiled_my_people;Изгнал мой народ;;;;;;;;;;;;;x
opinion_res_assimilated_my_people;Подавил мою культуру;;;;;;;;;;;;;x
opinion_res_sheltered_my_emigrants;Укрывал моих беженцев;;;;;;;;;;;;;x
hedonist_0_lover;Мало любовников\любовниц;;;;;;;;;;;;;x
hedonist_0_lover_desc;Несмотря на учения гедонистической религии, у [Root.GetFirstName] нет любовника\любовницы.;;;;;;;;;;;;;x
hedonist_1_lover;Гедонист - один любовник;;;;;;;;;;;;;x
hedonist_1_lover_desc;У [Root.GetFirstName] есть любовник, следуя учениям [Root.Religion.GetName].;;;;;;;;;;;;;x
hedonist_2_lover;Гедонист - два любовник;;;;;;;;;;;;;x
hedonist_2_lover_desc;У [Root.GetFirstName] есть два любовника, следуя учениям [Root.Religion.GetName].;;;;;;;;;;;;;x
hedonist_3_lover;Гедонист - множество любовников;;;;;;;;;;;;;x
hedonist_3_lover_desc;У [Root.GetFirstName] есть множество любовников, следуя учениям [Root.Religion.GetName].;;;;;;;;;;;;;x
